sku,ean,brand,product_name,description,category,size,color,price,list_price,availability,image_url,deeplink_url
S0-00014,4789191331391,Lee,Lee Straight Fit,"Lee Straight Fit. Straight Fit, hohe Bundhöhe. Flared, Light Wash. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert.",Herrenjeans,29x32,indigo,47.12,81.88,in stock,https://picsum.photos/seed/0-14/400/500,https://awin-tracking.example.com/click?sku=S0-00014
S0-00015,4849102978448,NUDIE,NUDIE Relaxed Straight,"Nudie Jeans Relaxed Straight. Relaxed Fit, high rise. Tapered Leg, hell gewaschen. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,34/36,mittelblau,45.74,52.35,in stock,https://picsum.photos/seed/0-15/400/500,https://awin-tracking.example.com/click?sku=S0-00015
S0-00016,,REPLAY,REPLAY Baggy Wide Leg,"Replay Baggy Wide Leg. slim cut, normale Bundhöhe. Flared, mittlere Waschung. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 33 L 30,indigo,36.51,41.97,in stock,https://picsum.photos/seed/0-16/400/500,https://awin-tracking.example.com/click?sku=S0-00016
S0-00017,4911587460460,BOSS,BOSS Bootcut Classic,"BOSS Bootcut Classic. entspannte Passform, hohe Bundhöhe. Straight Leg, hell gewaschen. Material: 99% Cotton, 1% Elastane. Verschluss: Knopfleiste.",Herrenjeans,32x36,mittelblau,85.29,111.26,in stock,https://picsum.photos/seed/0-17/400/500,https://awin-tracking.example.com/click?sku=S0-00017
S0-00018,4286894505438,LEE Jeans,LEE Jeans Baggy Wide Leg,"Lee Baggy Wide Leg. gerades Bein, high rise. verjüngtes Bein, Stonewashed. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert.",Herrenjeans,W34/L34,hellblau,70.33,120.88,in stock,https://picsum.photos/seed/0-18/400/500,https://awin-tracking.example.com/click?sku=S0-00018
S0-00019,4539928251843,WRANGLER,WRANGLER Baggy Wide Leg,"Wrangler Baggy Wide Leg. Relaxed Fit, Low Waist. verjüngtes Bein, Dark Wash. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,29x32,hellblau,72.94,119.94,in stock,https://picsum.photos/seed/0-19/400/500,https://awin-tracking.example.com/click?sku=S0-00019
S0-00020,4387967794459,WRANGLER,WRANGLER Bootcut Classic,"Wrangler Bootcut Classic. weites Hosenbein, tief sitzend. gerades Bein, Mid Wash. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,32x34,hellblau,90.29,130.58,in stock,https://picsum.photos/seed/0-20/400/500,https://awin-tracking.example.com/click?sku=S0-00020
S0-00021,4647357163267,TOMMY HILFIGER,TOMMY HILFIGER Slim Tapered,"Tommy Hilfiger Slim Tapered. extra weit geschnitten, tief sitzend. Straight Leg, Black Denim. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,33/30,schwarz,71.28,71.28,in stock,https://picsum.photos/seed/0-21/400/500,https://awin-tracking.example.com/click?sku=S0-00021
S0-00022,,Pepe Jeans,Pepe Jeans Slim Tapered,"Pepe Jeans Slim Tapered. ausgestelltes Bein, tief sitzend. Straight Leg, dunkel gewaschen. Material: 100% Baumwolle. Verschluss: Reißverschluss. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W30/L34,dunkelblau,127.41,127.41,in stock,https://picsum.photos/seed/0-22/400/500,https://awin-tracking.example.com/click?sku=S0-00022
S0-00023,4527687082060,Levi's,Levi's Wide Leg High Rise,"Levi's Wide Leg High Rise. Regular Fit, hohe Bundhöhe. gerades Bein, Raw Denim. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,32x36,mittelblau,112.06,112.06,in stock,https://picsum.photos/seed/0-23/400/500,https://awin-tracking.example.com/click?sku=S0-00023
S0-00024,4839915528141,DIESEL,DIESEL 511 Slim,"Diesel 511 Slim. skinny cut, Mid Waist. verjüngtes Bein, dunkel gewaschen. Material: 99% Cotton, 1% Elastane. Verschluss: Reißverschluss.",Herrenjeans,28/32,schwarz,71.11,132.11,in stock,https://picsum.photos/seed/0-24/400/500,https://awin-tracking.example.com/click?sku=S0-00024
S0-00025,4234614800586,DIESEL,DIESEL Slim Tapered,"Diesel Slim Tapered. straight leg, High Waist. Flared, Dark Wash. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W34/L34,dunkelblau,76.13,139.78,in stock,https://picsum.photos/seed/0-25/400/500,https://awin-tracking.example.com/click?sku=S0-00025
S0-00026,,DIESEL,DIESEL 511 Slim,"Diesel 511 Slim. slim cut, hohe Bundhöhe. Schlaghose, Stonewashed. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert.",Herrenjeans,30x30,schwarz,80.90,113.71,out of stock,https://picsum.photos/seed/0-26/400/500,https://awin-tracking.example.com/click?sku=S0-00026
S0-00027,,PEPE JEANS LONDON,PEPE JEANS LONDON Bootcut Classic,"Pepe Jeans Bootcut Classic. Skinny Fit, High Waist. Tapered Leg, Raw Denim. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert.",Herrenjeans,W31/L36,indigo,129.12,129.12,in stock,https://picsum.photos/seed/0-27/400/500,https://awin-tracking.example.com/click?sku=S0-00027
S0-00028,4594854998490,WRANGLER,WRANGLER Loose Tapered,"Wrangler Loose Tapered. klassische Passform, Low Waist. Flared, mittlere Waschung. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert.",Herrenjeans,W32/L36,indigo,95.08,116.69,preorder,https://picsum.photos/seed/0-28/400/500,https://awin-tracking.example.com/click?sku=S0-00028
S0-00029,4025558432468,TOMMY HILFIGER,TOMMY HILFIGER Relaxed Straight,"Tommy Hilfiger Relaxed Straight. klassische Passform, Low Waist. Flared, hell gewaschen. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,W32/L30,grau,67.81,77.40,in stock,https://picsum.photos/seed/0-29/400/500,https://awin-tracking.example.com/click?sku=S0-00029
S0-00030,4366826061886,WRANGLER,WRANGLER Loose Tapered,"Wrangler Loose Tapered. straight leg, Mid Waist. Flared, destroyed look. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,32x32,grau,134.70,143.90,preorder,https://picsum.photos/seed/0-30/400/500,https://awin-tracking.example.com/click?sku=S0-00030
S0-00031,4445699699578,Levi Strauss & Co.,Levi Strauss & Co. Skinny Fit,"Levi's Skinny Fit. Baggy Fit, tief sitzend. Schlaghose, Black Denim. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W32/L36,schwarz,114.41,114.41,out of stock,https://picsum.photos/seed/0-31/400/500,https://awin-tracking.example.com/click?sku=S0-00031
S0-00032,,G-Star RAW,G-Star RAW Bootcut Classic,"G-Star Bootcut Classic. weites Hosenbein, tief sitzend. Straight Leg, Black Denim. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Knopfleiste.",Herrenjeans,W36/L36,indigo,73.25,73.25,preorder,https://picsum.photos/seed/0-32/400/500,https://awin-tracking.example.com/click?sku=S0-00032
S0-00033,4507293452733,Nudie Jeans,Nudie Jeans Bootcut Classic,"Nudie Jeans Bootcut Classic. skinny cut, High Waist. leicht ausgestellt, ungewaschen. Material: 100% Baumwolle. Verschluss: Reißverschluss. Bio-Baumwolle.",Herrenjeans,W 31 L 32,schwarz,130.14,130.14,in stock,https://picsum.photos/seed/0-33/400/500,https://awin-tracking.example.com/click?sku=S0-00033
S0-00034,,Jack&Jones,Jack&Jones Slim Tapered,"Jack & Jones Slim Tapered. straight leg, Low Waist. Tapered Leg, mittlere Waschung. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,34x36,khaki,45.11,79.83,out of stock,https://picsum.photos/seed/0-34/400/500,https://awin-tracking.example.com/click?sku=S0-00034
S0-00035,4638176038125,REPLAY,REPLAY Loose Tapered,"Replay Loose Tapered. Baggy Fit, tief sitzend. gerades Bein, ungewaschen. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 34 L 34,khaki,40.32,40.32,in stock,https://picsum.photos/seed/0-35/400/500,https://awin-tracking.example.com/click?sku=S0-00035
S0-00036,4255047917740,G-Star RAW,G-Star RAW Straight Fit,"G-Star Straight Fit. Loose Fit, normale Bundhöhe. gerades Bein, stone washed. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,38x36,mittelblau,87.18,92.62,in stock,https://picsum.photos/seed/0-36/400/500,https://awin-tracking.example.com/click?sku=S0-00036
S0-00037,4931467554999,G-Star RAW,G-Star RAW Skinny Fit,"G-Star Skinny Fit. Relaxed Fit, normale Bundhöhe. Bootcut, Light Wash. Material: 100% Baumwolle. Verschluss: Reißverschluss. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W30/L36,mittelblau,46.37,60.58,in stock,https://picsum.photos/seed/0-37/400/500,https://awin-tracking.example.com/click?sku=S0-00037
S0-00038,4088690373106,NUDIE,NUDIE Wide Leg High Rise,"Nudie Jeans Wide Leg High Rise. slim cut, tief sitzend. gerades Bein, schwarz. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,30x30,dunkelblau,83.32,83.32,preorder,https://picsum.photos/seed/0-38/400/500,https://awin-tracking.example.com/click?sku=S0-00038
S0-00039,,Wrangler,Wrangler Loose Tapered,"Wrangler Loose Tapered. lockere Passform, Mid Waist. gerades Bein, Destroyed. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 29 L 32,khaki,53.65,77.17,in stock,https://picsum.photos/seed/0-39/400/500,https://awin-tracking.example.com/click?sku=S0-00039
S0-00040,4870511704083,Nudie Jeans,Nudie Jeans Straight Fit,"Nudie Jeans Straight Fit. Skinny Fit, High Waist. Bootcut, hell gewaschen. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,W 28 L 34,hellblau,61.78,101.31,in stock,https://picsum.photos/seed/0-40/400/500,https://awin-tracking.example.com/click?sku=S0-00040
S0-00041,4884329078416,WRANGLER,WRANGLER 511 Slim,"Wrangler 511 Slim. gerades Bein, Mid Waist. Bootcut, dunkel gewaschen. Material: 99% Cotton, 1% Elastane. Verschluss: Knopfleiste.",Herrenjeans,36/32,indigo,81.60,115.45,in stock,https://picsum.photos/seed/0-41/400/500,https://awin-tracking.example.com/click?sku=S0-00041
S0-00042,4118039479813,Replay,Replay Straight Fit,"Replay Straight Fit. entspannte Passform, high rise. Schlaghose, schwarz. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,W 32 L 36,schwarz,67.65,114.74,in stock,https://picsum.photos/seed/0-42/400/500,https://awin-tracking.example.com/click?sku=S0-00042
S0-00043,4818648282301,REPLAY,REPLAY Athletic Tapered,"Replay Athletic Tapered. entspannte Passform, Low Waist. verjüngtes Bein, Stonewashed. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,W 28 L 36,indigo,33.33,41.22,in stock,https://picsum.photos/seed/0-43/400/500,https://awin-tracking.example.com/click?sku=S0-00043
S0-00044,4401921209060,Lee,Lee Bootcut Classic,"Lee Bootcut Classic. Wide Leg, hohe Bundhöhe. Schlaghose, ungewaschen. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W32/L32,hellblau,91.18,142.70,in stock,https://picsum.photos/seed/0-44/400/500,https://awin-tracking.example.com/click?sku=S0-00044
S0-00045,4325586388909,Hugo Boss,Hugo Boss Skinny Fit,"BOSS Skinny Fit. Skinny Fit, normale Bundhöhe. Straight Leg, Used Look. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Knopfleiste.",Herrenjeans,W 38 L 34,hellblau,66.85,66.85,in stock,https://picsum.photos/seed/0-45/400/500,https://awin-tracking.example.com/click?sku=S0-00045
S0-00046,4405680216951,TOMMY HILFIGER,TOMMY HILFIGER Baggy Wide Leg,"Tommy Hilfiger Baggy Wide Leg. skinny cut, normale Bundhöhe. gerades Bein, dunkel gewaschen. Material: 100% Baumwolle. Verschluss: Reißverschluss. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W34/L34,hellblau,104.54,104.54,in stock,https://picsum.photos/seed/0-46/400/500,https://awin-tracking.example.com/click?sku=S0-00046
S0-00047,,JACK JONES,JACK JONES Athletic Tapered,"Jack & Jones Athletic Tapered. straight leg, tief sitzend. gerades Bein, Mid Wash. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 36 L 30,dunkelblau,139.85,139.85,in stock,https://picsum.photos/seed/0-47/400/500,https://awin-tracking.example.com/click?sku=S0-00047
S0-00048,4499885427457,LEE Jeans,LEE Jeans Bootcut Classic,"Lee Bootcut Classic. weites Bein, normale Bundhöhe. Straight Leg, schwarz. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Knopfleiste.",Herrenjeans,W32/L36,khaki,55.82,55.82,in stock,https://picsum.photos/seed/0-48/400/500,https://awin-tracking.example.com/click?sku=S0-00048
S0-00049,4937316966590,G-Star RAW,G-Star RAW 501 Original,"G-Star 501 Original. Wide Leg, tief sitzend. gerades Bein, Destroyed. Material: 99% Cotton, 1% Elastane. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 36 L 36,hellblau,27.05,45.26,in stock,https://picsum.photos/seed/0-49/400/500,https://awin-tracking.example.com/click?sku=S0-00049
S0-00050,4025645650502,Replay,Replay 511 Slim,"Replay 511 Slim. super enge Passform, High Waist. Bootcut, Dark Wash. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W29/L36,khaki,148.48,148.48,in stock,https://picsum.photos/seed/0-50/400/500,https://awin-tracking.example.com/click?sku=S0-00050
S0-00051,,BOSS,BOSS 511 Slim,"BOSS 511 Slim. schmale Passform, High Waist. Flared, ungewaschen. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,38/32,dunkelblau,78.07,78.07,in stock,https://picsum.photos/seed/0-51/400/500,https://awin-tracking.example.com/click?sku=S0-00051
S0-00052,4288511190574,Diesel,Diesel Loose Tapered,"Diesel Loose Tapered. Skinny Fit, high rise. gerades Bein, Used Look. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,W28/L32,grau,59.85,98.59,in stock,https://picsum.photos/seed/0-52/400/500,https://awin-tracking.example.com/click?sku=S0-00052
S0-00053,,NUDIE,NUDIE Regular Straight,"Nudie Jeans Regular Straight. super enge Passform, Low Waist. Flared, stone washed. Material: 99% Cotton, 1% Elastane. Verschluss: Knopfleiste.",Herrenjeans,W36/L34,grau,105.45,113.95,in stock,https://picsum.photos/seed/0-53/400/500,https://awin-tracking.example.com/click?sku=S0-00053
S0-00054,,Diesel,Diesel Baggy Wide Leg,"Diesel Baggy Wide Leg. schmale Passform, tief sitzend. Schlaghose, hell gewaschen. Material: 99% Cotton, 1% Elastane. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,29x36,indigo,33.49,51.94,in stock,https://picsum.photos/seed/0-54/400/500,https://awin-tracking.example.com/click?sku=S0-00054
S0-00055,4473369919587,NUDIE,NUDIE Regular Straight,"Nudie Jeans Regular Straight. Skinny Fit, hohe Bundhöhe. Schlaghose, hell gewaschen. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W34/L30,mittelblau,124.50,147.16,in stock,https://picsum.photos/seed/0-55/400/500,https://awin-tracking.example.com/click?sku=S0-00055
S0-00056,,JACK JONES,JACK JONES Regular Straight,"Jack & Jones Regular Straight. Loose Fit, High Waist. Straight Leg, Light Wash. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,29x34,mittelblau,60.89,91.10,preorder,https://picsum.photos/seed/0-56/400/500,https://awin-tracking.example.com/click?sku=S0-00056
S0-00057,4388311466297,TOMMY HILFIGER,TOMMY HILFIGER 511 Slim,"Tommy Hilfiger 511 Slim. klassische Passform, Low Waist. Schlaghose, schwarz. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W33/L32,indigo,102.35,135.98,out of stock,https://picsum.photos/seed/0-57/400/500,https://awin-tracking.example.com/click?sku=S0-00057
S0-00058,4406116067841,Lee,Lee Baggy Wide Leg,"Lee Baggy Wide Leg. lockere Passform, Low Waist. leicht ausgestellt, Light Wash. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Knopfleiste.",Herrenjeans,38/32,mittelblau,129.97,147.49,in stock,https://picsum.photos/seed/0-58/400/500,https://awin-tracking.example.com/click?sku=S0-00058
S0-00059,4197594719776,Jack & Jones,Jack & Jones Bootcut Classic,"Jack & Jones Bootcut Classic. klassische Passform, Low Waist. Flared, Used Look. Material: 99% Cotton, 1% Elastane. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,32/30,indigo,54.10,84.67,in stock,https://picsum.photos/seed/0-59/400/500,https://awin-tracking.example.com/click?sku=S0-00059
S0-00060,4359581516648,Replay,Replay Baggy Wide Leg,"Replay Baggy Wide Leg. Skinny Fit, Low Waist. Tapered Leg, Stonewashed. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert.",Herrenjeans,31x36,schwarz,114.22,114.22,in stock,https://picsum.photos/seed/0-60/400/500,https://awin-tracking.example.com/click?sku=S0-00060
S0-00061,4378445964518,WRANGLER,WRANGLER Loose Tapered,"Wrangler Loose Tapered. Loose Fit, tief sitzend. Schlaghose, used waschung. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,36x36,grau,86.81,139.36,in stock,https://picsum.photos/seed/0-61/400/500,https://awin-tracking.example.com/click?sku=S0-00061
S0-00062,4357725451521,Tommy Hilfiger,Tommy Hilfiger Skinny Fit,"Tommy Hilfiger Skinny Fit. Regular Fit, hohe Bundhöhe. leicht ausgestellt, Used Look. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,28/30,indigo,75.46,89.28,in stock,https://picsum.photos/seed/0-62/400/500,https://awin-tracking.example.com/click?sku=S0-00062
S0-00063,,Calvin Klein,Calvin Klein Loose Tapered,"Calvin Klein Loose Tapered. gerades Bein, high rise. Schlaghose, hell gewaschen. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,W31/L34,grau,54.47,104.95,in stock,https://picsum.photos/seed/0-63/400/500,https://awin-tracking.example.com/click?sku=S0-00063
S0-00064,4912509167885,LEE Jeans,LEE Jeans Straight Fit,"Lee Straight Fit. Straight Fit, hohe Bundhöhe. Flared, Light Wash. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,32x30,grau,25.00,43.31,out of stock,https://picsum.photos/seed/0-64/400/500,https://awin-tracking.example.com/click?sku=S0-00064
S0-00065,4558673795404,Nudie Jeans,Nudie Jeans Relaxed Straight,"Nudie Jeans Relaxed Straight. Relaxed Fit, hohe Bundhöhe. verjüngtes Bein, Light Wash. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Reißverschluss. Stretchanteil für hohen Tragekomfort.",Herrenjeans,38x30,hellblau,54.41,90.73,in stock,https://picsum.photos/seed/0-65/400/500,https://awin-tracking.example.com/click?sku=S0-00065
S0-00066,4193597168175,REPLAY,REPLAY Baggy Wide Leg,"Replay Baggy Wide Leg. schmale Passform, normale Bundhöhe. Schlaghose, mittlere Waschung. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,32/32,dunkelblau,138.59,138.59,in stock,https://picsum.photos/seed/0-66/400/500,https://awin-tracking.example.com/click?sku=S0-00066
S0-00067,,Hugo Boss,Hugo Boss Bootcut Classic,"BOSS Bootcut Classic. entspannte Passform, High Waist. Straight Leg, hell gewaschen. Material: 99% Cotton, 1% Elastane. Verschluss: Knopfleiste.",Herrenjeans,W 36 L 36,dunkelblau,55.89,84.90,in stock,https://picsum.photos/seed/0-67/400/500,https://awin-tracking.example.com/click?sku=S0-00067
S0-00068,4998364004203,Lee,Lee Baggy Wide Leg,"Lee Baggy Wide Leg. gerades Bein, high rise. verjüngtes Bein, Stonewashed. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert.",Herrenjeans,29x36,grau,115.58,134.98,in stock,https://picsum.photos/seed/0-68/400/500,https://awin-tracking.example.com/click?sku=S0-00068
S0-00069,4485292589726,Wrangler,Wrangler Baggy Wide Leg,"Wrangler Baggy Wide Leg. entspannte Passform, tief sitzend. verjüngtes Bein, dunkel gewaschen. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W29/L34,schwarz,63.43,122.56,in stock,https://picsum.photos/seed/0-69/400/500,https://awin-tracking.example.com/click?sku=S0-00069
